Zeitstempel,Participant,Collision,Feedback,SUS Score
2018/09/27 12:37:35 PM OEZ,19,Col_on,FB_on,67.5
2018/10/04 12:52:27 PM OEZ,20,Col_on,FB_off,67.5
2018/10/04 1:14:31 PM OEZ,20,Col_off,FB_on,70
2018/10/04 1:29:03 PM OEZ,20,Col_on,FB_on,70
2018/10/04 1:48:54 PM OEZ,20,Col_off,FB_off,62.5
2018/10/08 11:22:39 AM OEZ,21,Col_on,FB_off,67.5
2018/10/08 11:37:41 AM OEZ,21,Col_off,FB_off,75
2018/10/08 11:50:20 AM OEZ,21,Col_off,FB_on,77.5
2018/10/08 12:02:34 PM OEZ,21,Col_on,FB_on,75
2018/10/09 2:58:25 PM OEZ,22,Col_on,FB_off,80
2018/10/09 3:27:01 PM OEZ,22,Col_off,FB_off,87.5
2018/10/09 3:43:15 PM OEZ,22,Col_on,FB_on,82.5
2018/10/09 3:56:47 PM OEZ,22,Col_off,FB_on,87.5
2018/10/18 10:47:43 AM OEZ,23,Col_on,FB_off,90
2018/10/18 11:01:00 AM OEZ,23,Col_on,FB_on,87.5
2018/10/18 11:19:31 AM OEZ,23,Col_off,FB_on,95
2018/10/18 11:36:47 AM OEZ,23,Col_off,FB_off,100
2018/10/18 12:10:39 PM OEZ,24,Col_on,FB_off,87.5
2018/10/18 12:21:38 PM OEZ,24,Col_on,FB_on,97.5
2018/10/18 12:35:10 PM OEZ,24,Col_off,FB_off,92.5
2018/10/18 12:47:14 PM OEZ,24,Col_off,FB_on,95
