ParticipantID,Canvas,Task,TCT,Scene
5,On-Body,Gaming,9.712132446289063,Closed
6,On-Body,Gaming,7.1084399414062505,Closed
7,On-Body,Gaming,7.0087339843750005,Open
8,On-Body,Gaming,4.2555419921875,Open
9,On-Body,Gaming,7.37090400390625,Open
10,On-Body,Gaming,6.515515966796874,Semi-Open
11,On-Body,Gaming,8.679368017578124,Closed
12,On-Body,Gaming,14.004158007812501,Semi-Open
13,On-Body,Gaming,5.045363916015626,Closed
14,On-Body,Gaming,3.5364280761718745,Open
15,On-Body,Gaming,6.88869599609375,Semi-Open
16,On-Body,Gaming,15.277941992187502,Closed
17,On-Body,Gaming,7.858652001953127,Open
18,On-Body,Gaming,8.786077929687501,Closed
19,On-Body,Gaming,6.800539990234375,Semi-Open
20,On-Body,Gaming,6.299756005859375,Closed
21,On-Body,Gaming,15.121690087890624,Open
22,On-Body,Gaming,3.6128619140625005,Semi-Open
23,On-Body,Gaming,6.541228027343751,Semi-Open
24,On-Body,Gaming,6.281112060546876,Open
1,On-Body,Learning,14.732995996093749,Closed
2,On-Body,Learning,7.316823974609375,Open
3,On-Body,Learning,12.82837998046875,Semi-Open
4,On-Body,Learning,10.706264013671875,Semi-Open
5,On-Body,Learning,13.557864013671875,Closed
6,On-Body,Learning,12.229943994140624,Closed
7,On-Body,Learning,5.484497998046875,Open
8,On-Body,Learning,8.38136396484375,Open
9,On-Body,Learning,8.488883984375,Open
10,On-Body,Learning,6.678677978515625,Semi-Open
11,On-Body,Learning,10.67982001953125,Closed
12,On-Body,Learning,15.145002001953126,Semi-Open
13,On-Body,Learning,5.20324404296875,Closed
14,On-Body,Learning,6.027865966796875,Open
15,On-Body,Learning,5.5685679199218745,Semi-Open
16,On-Body,Learning,15.112978027343749,Closed
17,On-Body,Learning,14.405137988281249,Open
18,On-Body,Learning,9.801972021484374,Closed
19,On-Body,Learning,6.250581982421875,Semi-Open
20,On-Body,Learning,12.588724975585937,Closed
21,On-Body,Learning,11.926716015625,Open
22,On-Body,Learning,15.12193408203125,Semi-Open
23,On-Body,Learning,11.742966064453125,Semi-Open
24,On-Body,Learning,8.69733388671875,Open
1,On-Body,ProblemSolving,12.783234033203124,Closed
2,On-Body,ProblemSolving,5.667828076171875,Open
3,On-Body,ProblemSolving,7.7158080078125,Semi-Open
4,On-Body,ProblemSolving,6.618467968750001,Semi-Open
5,On-Body,ProblemSolving,3.788665966796875,Closed
6,On-Body,ProblemSolving,7.494203955078125,Closed
7,On-Body,ProblemSolving,5.80680595703125,Open
8,On-Body,ProblemSolving,5.33955205078125,Open
9,On-Body,ProblemSolving,9.893856005859375,Open
10,On-Body,ProblemSolving,7.518352099609376,Semi-Open
11,On-Body,ProblemSolving,7.772712011718751,Closed
12,On-Body,ProblemSolving,13.448764013671877,Semi-Open
13,On-Body,ProblemSolving,4.52707802734375,Closed
14,On-Body,ProblemSolving,4.325256005859375,Open
15,On-Body,ProblemSolving,4.878711962890625,Semi-Open
16,On-Body,ProblemSolving,15.1234939453125,Closed
17,On-Body,ProblemSolving,15.138099951171876,Open
18,On-Body,ProblemSolving,7.4321299804687495,Closed
19,On-Body,ProblemSolving,8.608968017578125,Semi-Open
20,On-Body,ProblemSolving,7.3569719726562495,Closed
21,On-Body,ProblemSolving,10.485017919921876,Open
22,On-Body,ProblemSolving,3.5734280273437506,Semi-Open
23,On-Body,ProblemSolving,7.580621923828124,Semi-Open
24,On-Body,ProblemSolving,7.090029980468749,Open
